phase3bk_rank,decision_tier,expression_hash,candidate_ids,best_horizon_min,factor_lane,fields,max_directional_robust_score,mean_directional_robust_score,best_ic_mean_median,best_ic_direction_share,best_spread_mean,horizon_pass_count,exact_memory_hit,memory_hit_any_in_bj,fresh_eligible_any,family_crowding_count,ops_crowding_count,metric_cluster_id,metric_cluster_size,expression_family_hash,ops_signature,expression
38,bk_watchlist,f0f51f093aa9aa122b0ce7af,phase3bj_large_1min_011968,5,pure_fresh_cross,amount|close|m1_first30_vwap,0.04747621182,0.04243144026,0.04747621182,1,0.0001752591789,4,false,false,true,2,2,bk_metric_001,57,2507db81f1a8dda28a000a64,CSRank>Add>ZScore>Sub>ZScore>Mean>ZScore>Mean>ZScore>Div>Sub>Add>Abs,"CSRank(Add(ZScore(Sub(ZScore(Mean($amount,8)),ZScore(Mean($amount,60)))),ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))))"
39,bk_watchlist,77543a3f147c46d52b16717c,phase3bj_large_1min_010788,30,pure_fresh_cross,close|volume,0.04745729077,0.03227051846,-0.04745729077,1,-0.0001936940992,2,false,false,true,2,2,bk_metric_001,57,cecc30d129ebbb7cff530acf,CSRank>Add>ZScore>Div>Delta>Add>Abs>Add>Std>ZScore>Div>Std>Add>Abs>Mean,"CSRank(Add(ZScore(Div(Delta($volume,5),Add(Abs(Add(Std($close,5),0.000001)),0.000001))),ZScore(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001)))))"
40,bk_watchlist,3a890ef1aa2d3421ed3dd39a,phase3bj_large_1min_013239,5,pure_fresh_cross,amount|close|m1_first15_vwap|vwap,0.04737739208,0.04328992267,0.04737739208,1,0.0001950997395,4,false,false,true,2,2,bk_metric_001,57,1cf705c234d8eafe07d5e427,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Div>Delta>Add>Abs>Add>Std,"CSRank(Div(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Delta($amount,5),Add(Abs(Add(Std($vwap,5),0.000001)),0.000001)))),0.000001)))"
41,bk_watchlist,379a3b678612c3ae9782ef01,phase3bj_large_1min_010090,30,pure_fresh_cross,amount|close,0.04721651209,0.03284041148,-0.04721651209,1,-0.0001074938497,2,false,false,true,1,1,bk_metric_001,57,572338171f394b6af81eafa2,CSRank>Add>ZScore>Div>Std>Add>Abs>Mean>ZScore>Div>Mean>Add>Abs>Add>Std,"CSRank(Add(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),ZScore(Div(Mean($amount,3),Add(Abs(Add(Std($close,3),0.000001)),0.000001)))))"
42,bk_watchlist,7882e6310ee21b4be9529c8e,phase3bj_large_1min_007506,30,pure_fresh_cross,amount|close|m1_first5_amount,0.04720404007,0.03261943959,-0.04720404007,1,-0.0001025179692,2,false,false,true,1,1,bk_metric_001,57,337050dc1fc728ed341b8c6a,CSRank>Add>ZScore>Div>Std>Add>Abs>Mean>ZScore>Div>Add>Abs>Mean,"CSRank(Add(ZScore(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001))),ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,30)),0.000001)))))"
43,bk_watchlist,2518d8f8464fd75b242f401f,phase3bj_large_1min_007177,5,pure_fresh_cross,close|m1_first5_vwap,0.04720308299,0.04430993303,0.04720308299,1,0.0001862449761,4,false,false,true,1,1,bk_metric_001,57,014c86d8678476dc5a375dcc,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Div>Std>Add>Abs>Mean,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Std($close,30),Add(Abs(Mean($close,30)),0.000001)))),0.000001)))"
44,bk_watchlist,608bf624d3ce46ea95471750,phase3bj_large_1min_011154,30,pure_fresh_cross,close|volume,0.04716337645,0.03696490488,0.04716337645,1,0.0002910443278,3,false,false,true,1,1,bk_metric_001,57,ef96336f3db4c3ae2db30805,CSRank>Sub>ZScore>Sub>ZScore>Delta>ZScore>Delta>ZScore>Div>Std>Add>Abs>Mean,"CSRank(Sub(ZScore(Sub(ZScore(Delta($volume,5)),ZScore(Delta($close,5)))),ZScore(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001)))))"
45,bk_watchlist,2f508e943776ece057995ed8,phase3bj_large_1min_006697,5,pure_fresh_cross,amount|close|m1_first30_vwap,0.04704126212,0.04236780677,0.04704126212,1,0.000177905479,4,false,false,true,2,2,bk_metric_001,57,6e9a9f8b8464caafe923f089,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Div>Delta>Add>Abs>Mean,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Delta($amount,10),Add(Abs(Mean($amount,60)),0.000001)))),0.000001)))"
46,bk_watchlist,042b4e642cce432b76f3c4e4,phase3bj_large_1min_007189,30,pure_fresh_cross,amount|close|vwap,0.04666270287,0.03194398716,-0.04666270287,1,-4.447154372e-05,2,false,false,true,1,1,bk_metric_001,57,2a13323e867b25719b9c3d29,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Mul>ZScore>Delta>Neg>ZScore,"CSRank(Div(ZScore(Div(Std($close,20),Add(Abs(Mean($close,20)),0.000001))),Add(Abs(ZScore(Mul(ZScore(Delta($amount,5)),Neg(ZScore(Delta($vwap,5)))))),0.000001)))"
47,bk_watchlist,c157ec9fc42f6f52fd001aa7,phase3bj_large_1min_007600,30,pure_fresh_cross,close|volume|vwap,0.04664590347,0.03495072266,-0.04664590347,1,-0.0001740550119,3,false,false,true,1,1,bk_metric_001,57,9d549ad784e319f03f807c5d,CSRank>Sub>ZScore>Div>Std>Add>Abs>Mean>ZScore>Sub>ZScore>Delta>ZScore>Delta,"CSRank(Sub(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),ZScore(Sub(ZScore(Delta($volume,5)),ZScore(Delta($vwap,5))))))"
