candidate_file,row_number,candidate_id,expression_hash,fields,field_lanes,missing_schema_fields,blocked_or_future_fields,signal_nonnull_sum,effective_signal_used,decision,blockers
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,339,,e87b165e1afec5954bc2cec4,amount|ctx_sent_gt5_num|m1_first15_high|m1_first15_low|open,direct_formula|lagged_context,,,194219,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,340,,e87b165e1afec5954bc2cec4,amount|ctx_sent_gt5_num|m1_first15_high|m1_first15_low|open,direct_formula|lagged_context,,,194219,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,341,,e7890840491af8a7491ef81a,amount|ctx_ths_hot_rank_diff|m1_first5_high|m1_first5_low|open,direct_formula|lagged_context,,,0,false,,primary_direction_not_reproduced
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,342,,e7890840491af8a7491ef81a,amount|ctx_ths_hot_rank_diff|m1_first5_high|m1_first5_low|open,direct_formula|lagged_context,,,0,false,,primary_direction_not_reproduced
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,343,,e7890840491af8a7491ef81a,amount|ctx_ths_hot_rank_diff|m1_first5_high|m1_first5_low|open,direct_formula|lagged_context,,,0,false,,primary_direction_not_reproduced
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,344,,e7890840491af8a7491ef81a,amount|ctx_ths_hot_rank_diff|m1_first5_high|m1_first5_low|open,direct_formula|lagged_context,,,0,false,,primary_direction_not_reproduced
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,345,,e64f317327e3d2987784c89a,high|low|m1_first15_high|m1_first15_low|open,direct_formula,,,194132,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,346,,e64f317327e3d2987784c89a,high|low|m1_first15_high|m1_first15_low|open,direct_formula,,,194132,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,347,,e64f317327e3d2987784c89a,high|low|m1_first15_high|m1_first15_low|open,direct_formula,,,194132,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,348,,e64f317327e3d2987784c89a,high|low|m1_first15_high|m1_first15_low|open,direct_formula,,,194132,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,349,,e626839a897fd282faf02f75,high|low|m1_first5_high|m1_first5_low|open,direct_formula,,,204416,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
